age
35
23
44
69
51
53
65
44
59
33
38
37
32
51
26
36
69
57
53
64
56
49
54
58
42
59
25
41
34
52
53
62
31
28
22
43
69
33
40
28
35
13
50
21
41
10
40
51
62
43
37
61
36
32
18
36
69
49
28
72
57
30
39
48
37
3
25
25
67
36
60
54
56
62
63
65
64
7
6
58
30
58
43
66
11
38
36
39
53
34
54
2
66
36
5
60
66
65
33
46
38
2
41
56
69
13
2
34
49
50
64
63
28
30
42
57
23
23
31
23
52
38
20
58
42
37
46
47
61
43
56
60
26
28
56
78
7
37
36
30
55
58
28
37
79
45
59
45
50
20
44
50
47
44
4
39
71
34
48
28
25
45
18
34
48
34
67
46
38
50
46
65
31
40
65
35
31
36
66
33
13
31
56
58
35
41
53
43
7
34
8
12
37
50
50
40
67
17
45
60
61
41
48
57
59
76
70
33
36
56
28
5
9
53
6
32
60
62
25
55
33
62
48
31
66
35
61
34
58
62
25
31
37
41
29
29
46
33
56
60
65
49
81
20
60
45
41
66
38
37
70
43
62
14
60
46
48
62
68
54
32
38
1
63
34
58
56
18
49
33
38
6
76
57
55
54
61
78
66
57
59
56
4
47
25
51
39
6
65
49
37
66
86
34
10
64
57
39
35
73
39
64
49
64
36
53
60
54
2
62
38
61
36
35
67
56
34
32
32
34
40
64
52
38
65
56
63
64
69
64
46
51
53
59
52
39
26
56
26
32
78
50
30
32
52
51
51
35
29
49
49
66
64
38
64
58
61
19
52
66
51
20
22
62
25
49
47
69
52
55
69
7
64
40
53
62
41
53
67
38
54
78
61
47
34
75
63
32
21
49
20
62
64
66
61
46
57
42
73
36
74
63
62
46
71
64
69
64
56
51
35
62
63
63
10
36
65
66
